id;questionId;title;correct
1;1;Александрия, Каир;false
2;1;Ламбала, Гондэра;false
3;1;Тамбукту, Дженне;true
4;1;Могадишо, Момбаса;false
5;1;Софала, Малинди;false
6;2;1973;false
7;2;1968;false
8;2;1965;false
9;2;1977;false
10;2;1963;true
11;3;в Намибии;false
12;3;в ЮАР;true
13;3;в Египте;false
14;3;в Конго;false
15;3;в Алжире;false
16;4;25;false
17;4;35;false
18;4;45;false
19;4;около 40;true
20;4;более 30;false
21;5;Англии;false
22;5;Испании;false
23;5;Португалии;false
24;5;Франции;true
25;5;Германии;false
26;6;А.Насер;false
27;6;М.Мубарак;false
28;6;А.Садат;true
29;6;А.Араби;false
30;6;Х.Асад;false
31;7;в Северной Танзании;true
32;7;на юге Эфиопии;false
33;7;в ЮАР;false
34;7;в Танганьике;false
35;7;в Ботсване;false
36;8;Ассирия;false
37;8;Алжир;false
38;8;Эфиопия;true
39;8;Того;false
40;8;Камерун;false
41;9;в 1933 г.;false
42;9;в 1936 г.;true
43;9;в 1937 г.;false
44;9;в 1938 г.;false
45;9;в 1939 г.;false
46;10;в 1960 г.;false
47;10;в 1961 г.;false
48;10;в 1962 г.;true
49;10;в 1954 г.;false
50;10;в 1966 г.;false
51;11;1,3,5,7;true
52;11;2,4,6,7;false
53;11;4,5,6,7;false
54;11;1,2,3,5;false
55;11;2,4,5,6;false
56;12;Россия, Англия, Франция;false
57;12;Англия, Франция, США;true
58;12;Испания, Португалия, США;false
59;12;Россия, Италия, Португалия;false
60;12;США, Россия, Испания;false
61;13;Марокко, Ливия, Тунис;false
62;13;Египет, Тунис, Алжир;true
63;13;Эфиопия, Марокко, Алжир;false
64;13;Сомали, Марокко, Алжир;false
65;13;Египет, Танзания, Марокко;false
66;14;Эфиопию, Тунис;false
67;14;Анголу, Бенин;true
68;14;Мозамбик, Нигерию;false
69;14;Конго, Либерию;false
70;14;Гвинею, Уганду;false
71;15;Сомали, Гвинея;false
72;15;Гамбия, Уганда;true
73;15;Уганда, Конго;false
74;15;Ангола, Того;false
75;15;Эритрея, Того;false
76;16;территорией Северной Африки и Эфиопии;false
77;16;Северной Африкой до озера Чад;false
78;16;Египтом и территорией южнее Сахары;false
79;16;Северной Африкой и районом Африканского рога;false
80;16;Северной Африкой и Египтом;true
81;17;областями Египта до Верхнего Нила;false
82;17;округой Карфагена;false
83;17;районами южнее Сахары;false
84;17;Северной Африкой в целом;true
85;17;Северной и Центральной Африкой;false
86;18;Гею;false
87;18;Дженне;false
88;18;Могадишо;false
89;18;Томбукту;true
90;18;Маливди;false
91;19;Египет;false
92;19;Алжир;false
93;19;Эфиопия;true
94;19;Тунис;false
95;19;Ватуа;false
96;20;Англия;false
97;20;Бельгия;false
98;20;Франция;false
99;20;Голландия;true
100;20;Португалия;false
101;21;Сейшельские острова;false
102;21;Джибути;false
103;21;Мозамбик;false
104;21;Ангола;false
105;21;Гвинея-Бисау;true
106;22;1920;false
107;22;1915;false
108;22;1961;false
109;22;1949;false
110;22;1912;true
111;23;Нигерии;false
112;23;Бенине;false
113;23;Эфиопии;true
114;23;Судане;false
115;23;Конго;false
116;24;Капскую колонию, Оранжевую республику и Трансвааль;true
117;24;Мозамбик и Северную Родезию;false
118;24;Наталь, Южную Родезию и Нигерию;false
119;24;Трансвааль, Капскую колонию и Конго;false
120;24;Анголу и Камерун, Наталь;false
121;25;Южная Родезия;false
122;25;Рио-Муни;false
123;25;Мозамбик;false
124;25;Того;true
125;25;Судан;false
126;26;Томбукту;false
127;26;Аксум;true
128;26;Бенин;false
129;26;Сонгаи;false
130;26;Мали;false
131;27;Южно-Африканская республика;false
132;27;независимость Зимбабве;false
133;27;независимость Мозамбика;false
134;27;Республика Намибия;true
135;27;независимость Анголы;false
136;28;территория;true
137;28;народ;true
138;28;правитель;false
139;28;суверенитет;true
140;28;власть;true
141;28;налоги и сборы.;true
142;29;12 декабря 1990 г.;false
143;29;12 ноября 1990 г.;false
144;29;12 декабря 1993 г.;true
145;29;12 февраля 1993 г.;false
146;30;нормативно-правовые акты;true
147;30;правовой договор;true
148;30;постановление Правительства;false
149;30;основы законодательства о здоровье граждан;false
150;30;частное мнение юриста;false
151;30;правовой обычай;true
152;30;судебный прецедент.;true
153;31;регулятивная;true
154;31;охранительная;true
155;31;функция социального контроля.;false
156;32;Конституционный суд;true
157;32;Прокуратура;false
158;32;Высший арбитражный суд;true
159;32;Верховный суд;true
160;32;милиция.;false
